code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quarter
000153,丰原药业,5.41,12.6,35.3551,2.9736,0.0743,23.5919,0.5897,2000,1
000150,宜华健康,5.22,7.63,19.7115,6.847,0.0622,89.6399,0.8149,2000,1
600280,中央商场,2.78,3.67,16.7194,5.862,0.0483,159.7078,1.317,2000,1
600247,ST成城,2.22,20.86,57.842,3.4103,0.031,16.3453,0.1485,2000,1
600038,中直股份,,-4.27,17.5192,-1.6269999999999998,,38.0805,,2000,1
600208,新湖中宝,,,,,,,,2000,1
600395,盘江股份,,,,,,,,2000,1
600642,申能股份,,,,,,,,2000,1
600993,马应龙,,14.03,45.7391,15.374,,109.5624,,2000,1
000511,*ST烯碳,,3.41,24.0236,4.952,,145.1604,,2000,1
000970,中科三环,,,,,,,,2000,1
600196,复星医药,,,,,,,,2000,1
600299,安迪苏,,,,,,,,2000,1
600603,广汇物流,,,,,,,,2000,1
600726,华电能源,,,,,,,,2000,1
000155,*ST川化,,11.94,23.7076,30.0442,,251.4444,,2000,1
000768,中航飞机,,,,,,,,2000,1
600157,永泰能源,,,,,,,,2000,1
600586,金晶科技,,,,,,,,2000,1
600675,中华企业,,,,,,,,2000,1
000605,渤海股份,,,,,,,,2000,1
002120,韵达股份,,,,,,,,2000,1
600086,东方金钰,,,,,,,,2000,1
600567,山鹰纸业,,,,,,,,2000,1
600652,游久游戏,,,,,,,,2000,1
000525,红太阳,,1.42,7.0443,6.8747,,483.8966,,2000,1
000998,隆平高科,,,,,,,,2000,1
600376,首开股份,29.22,28.32,44.2322,61.1096,0.5645,215.7616,1.9931,2000,2
000619,海螺型材,26.1,22.2,23.4606,53.2512,0.71,239.799,3.1973,2000,2
600270,外运发展,24.21,16.02,51.1844,79.4474,0.3835,495.8767,2.3936,2000,2
000008,神州高铁,22.89,29.6,41.975,25.5962,0.3475,86.4715,1.1740000000000002,2000,2
000502,绿景控股,22.61,114.18,48.3336,63.6965,0.4091,55.782,0.3583,2000,2
600642,申能股份,20.84,166.87,44.8494,1083.43,0.6634,649.2596,0.3975,2000,2
600795,国电电力,19.13,28.19,37.7006,138.4201,0.5436,490.9704,1.9284,2000,2
000518,四环生物,18.55,35.04,36.9391,35.7284,0.2671,101.9436,0.7622,2000,2
600037,歌华有线,18.46,53.29,67.4929,66.6584,0.3508,125.0708,0.6582,2000,2
600779,水井坊,18.3,17.61,33.4118,123.5021,0.4545,701.0916,2.5804,2000,2
600309,万华化学,17.32,16.71,40.3928,26.8961,0.3362,160.8888,2.0111,2000,2
600302,标准股份,17.03,11.08,33.0893,34.4178,0.3005,310.4133,2.7109,2000,2
600400,红豆股份,16.76,16.23,29.5591,28.0124,0.156,172.5679,0.9612,2000,2
000682,东方电子,16.42,35.6,51.9712,217.4586,0.2368,610.6913,0.6652,2000,2
600742,一汽富维,16.37,21.16,21.0173,92.1087,0.5027,435.2879,2.376,2000,2
000157,中联重科,16.23,26.93,50.248000000000005,28.0106,0.2801,104.0048,1.04,2000,2
600739,辽宁成大,16.03,22.53,16.2351,114.0358,0.4606,506.0879,2.0442,2000,2
000525,红太阳,15.11,25.35,42.5243,35.5154,0.2403,140.0866,0.9479,2000,2
000858,五粮液,15.07,16.11,56.7674,429.8128,0.8954,2667.6845,5.5576,2000,2
600389,江山股份,15.0,7.19,22.6009,21.0551,0.1403,292.6445,1.9509,2000,2
000034,神州数码,14.6,5.64,17.2722,10.9028,0.035,193.2184,0.621,2000,2
000557,西部创业,14.55,31.94,45.2738,160.4985,0.3176,502.3796,0.9942,2000,2
600345,长江通信,14.22,17.82,26.9216,26.9017,0.2241,150.9332,1.2577,2000,2
600261,阳光照明,14.11,14.58,36.3298,15.6049,0.1267,106.9898,0.8687,2000,2
600285,羚锐制药,13.93,16.58,75.4545,10.0557,0.1665,60.6371,1.0045,2000,2
600303,曙光股份,13.87,6.67,26.7469,12.5996,0.1399,188.6868,2.0965,2000,2
600276,恒瑞医药,13.74,11.07,51.6876,25.5569,0.1923,230.821,1.7374,2000,2
600601,方正科技,13.64,5.6,14.5456,62.1719,0.3331,1109.6637,5.9459,2000,2
600275,*ST昌鱼,13.5,54.35,49.5748,31.3311,0.1794,57.6465,0.3301,2000,2
000607,华媒控股,13.49,5.64,20.3661,31.0557,0.2032,550.0719,3.6004,2000,2
600126,杭钢股份,13.41,9.81,19.5819,180.8138,0.3013,1841.8287,3.0697,2000,2
000537,广宇发展,13.4,26.94,38.1269,60.4755,0.3043,224.4569,1.1297,2000,2
600677,航天通信,13.34,9.63,16.0091,70.523,0.281,732.0688,2.9177,2000,2
000552,靖远煤电,13.32,23.34,15.6879,27.5698,0.1549,118.1013,0.6639,2000,2
600660,福耀玻璃,13.24,18.41,36.1358,61.4522,0.2412,333.7535,1.3102,2000,2
000997,新大陆,12.99,8.63,19.4881,14.6347,0.1721,169.5595,1.9948,2000,2
600120,浙江东方,12.93,4.02,10.6831,53.1368,0.41,1320.0669,10.1857,2000,2
600330,天通股份,12.83,16.88,38.9487,17.5229,0.1145,103.7787,0.6783,2000,2
000652,泰达股份,12.79,58.15,43.1117,80.9182,0.3051,139.1317,0.5247,2000,2
000403,ST生化,12.69,28.54,44.2796,65.7311,0.5012,230.2418,1.7559,2000,2
601607,上海医药,12.68,4.14,13.8993,91.8521,0.4001,2217.46,9.6599,2000,2
600038,中直股份,12.55,22.67,30.1013,20.2774,0.2253,89.4412,0.9937,2000,2
000985,大庆华科,12.53,10.43,17.4759,18.9422,0.2228,181.446,2.1346,2000,2
000806,银河生物,12.51,31.34,51.0224,43.6184,0.2061,139.173,0.6577,2000,2
